Job_Title,Company,City,Salary,Description,Experience,Education,Skills
Not Mentioned,Not Mentioned,New Delhi,Not disclosed,The ideal candidate will possess a strong passion for leveraging cutting-edge technolog...,2-5 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Computer vision', 'C++', '3d rendering', 'Image processing', 'Artificial Intelligence', 'Machine learning', 'Computer graphics', 'MATLAB', 'Python']"
Not Mentioned,ideaTree,New Delhi,Not disclosed,  Study and transform data science prototypes   Design machine learning systems   Resea...,2-7 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Cold calling', 'data science', 'Data modeling', 'Analytical', 'Artificial Intelligence', 'Machine learning', 'Service industry', 'Data structures', 'Restaurant Hospitality', 'Python']"
Not Mentioned,Not Mentioned,New Delhi,Not disclosed,  We are looking for a Machine Learning (ML) Engineer to help us create artificial inte...,2-5 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['data science', 'Artificial Intelligence', 'Machine learning', 'Programming', 'Statistics']"
Not Mentioned,Consilium Software,New Delhi,Not disclosed,  Consilium Software Pvt Ltd is looking for Machine Learning Engineer to join our dynam...,3-6 Yrs,"Education
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","['algorithms', 'python', 'modeling', 'natural language processing', 'software testing', 'data pipeline', 'machine learning', 'artificial intelligence', 'scalability', 'ml algorithms', 'predictive modeling', 'computer vision', 'troubleshooting', 'machine learning algorithms', 'ml']"
Not Mentioned,Level Ai,New Delhi,Not disclosed,"Proficient in Python and SQLKnowledge of basic Data Structures and Algorithms, and prof...",2-5 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['RCA', 'Coding', 'Enterprise applications', 'Machine learning', 'Data structures', 'Data mining', 'Monitoring', 'SQL', 'Python']"
Not Mentioned,Level Ai,New Delhi,Not disclosed,"Proficient in Python and SQLKnowledge of basic Data Structures and Algorithms, and prof...",2-5 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Computer science', 'RCA', 'Coding', 'Enterprise applications', 'Machine learning', 'Data structures', 'Data mining', 'Monitoring', 'SQL', 'Python']"
Not Mentioned,Housing.com,Gurugram,Not disclosed,A graduation / post-graduation degree in Computer Science/ Mathematics / Statistics (II...,7-12 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Image processing', 'Campaign management', 'Coding', 'Artificial Intelligence', 'Machine learning', 'Digital marketing', 'Analytics', 'CRM', 'Python']"
Not Mentioned,Paypal,Bengaluru,Not disclosed,Demonstrated record of building and deploying end-to-end ML solutions in a production e...,4-7 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Computer science', 'consumer marketing', 'Artificial Intelligence', 'Finance', 'Machine learning', 'Manager Technology', 'Commerce', 'big data', 'SQL', 'Python']"
Not Mentioned,Spikewell,Bhubaneswar,Not disclosed,This internship is an excellent opportunity for individuals looking to apply their theo...,0-1 Yrs,"Education
UG: Any Graduate
PG: MCA in Computers","['deep learning', 'python', 'data science', 'natural language processing', 'neural networks', 'computer vision', 'machine learning', 'artificial intelligence']"
Not Mentioned,Not Mentioned,"Mumbai, Pune, Gurugram",15-22.5 Lacs PA,"Shift Timmings: 12:00 PM to 9:00 PM. Preferred Skills : KubeFlow, Vetex AI, GCP / Any C...",7-12 Yrs,"Education
UG: B.Tech/B.E. in Any Specialization","['GKE', 'Tensorflow', 'Azure', 'Vetex AI', 'Pytorch', 'GCP', 'Kuberflow', 'Virtual Machine']"
Not Mentioned,Not Mentioned,Bengaluru,Not disclosed,"Lead the design, development, deployment of machine learning models for large-scale app...",9-14 Yrs,"Education
UG: B.Tech/B.E. in Any Specialization","['Azure', 'Artificial Intelligence', 'Hadoop', 'Kafka', 'Ml Algorithms', 'Deep Learning', 'GCP', 'Spark', 'Computer Vision', 'AWS', 'Large Language Models']"
Not Mentioned,Uplers,Remote,40-60 Lacs PA,"Senior ML Engineer Experience: 5+ yearsSalary : Upto USD 72, 000 / yearPreferred Notice...",5-10 Yrs,"Education
UG: Any Graduate","['Docker', 'CI/CD', 'AWS', 'SQL']"
Not Mentioned,Not Mentioned,Bengaluru(Bagalur +3),10-14 Lacs PA,*Only Female with Relevant 3+yrs can apply current location must be Bangalore -others p...,3-6 Yrs,"Education
UG: B.Tech/B.E. in Information Technology, Computers","['Tensorflow', 'Pytorch', 'Opencv', 'Computer Vision', 'Deep Learning', 'Scikit-Learn', 'ML']"
Not Mentioned,Coursera,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,"It is now one of the largest online learning platforms in the world, with 142 million r...",5-6 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['ops', 'system', 'natural language processing', 'design patterns', 'computer vision', 'aws', 'machine learning', 'ml']"
Not Mentioned,Carbynetech India Pvt Ltd,Hyderabad,Not disclosed,Job Requirements :- 3+ Years of experience in machine learning and AI analytics.- Exper...,3-8 Yrs,"Education
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate
Doctorate: Doctorate Not Required","['Data Science', 'R', 'APICS', 'NLP', 'Artificial Intelligence', 'Data Management', 'Python', 'Predictive Analytics']"
Not Mentioned,Som Imaging Informatics Pvt. Ltd.,Kolkata,Not disclosed, Fundamentals of data science and programming.   Neural networks and deep learning.    ...,5-8 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['deep learning', 'Team management', 'data science', 'Neural networks', 'Machine learning', 'Programming', 'Python']"
Not Mentioned,Not Mentioned,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,"Company Description. Welcome to FlaggAI Where Innovation Meets Influence! At FlaggAI, w...",0-1 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['deep learning', 'data science', 'computer science', 'statisticsalgorithms', 'machine learninginfluencer marketing']"
Not Mentioned,Not Mentioned,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",Not disclosed,"This range is determined by an array of factors, including training, transferable skill...",6-11 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Automation', 'Data analysis', 'Simulation', 'Analytical', 'Machine learning', 'Flex', 'Security services', 'Healthcare', 'SQL', 'game development']"
Not Mentioned,MSys Technologies,"Hybrid - Pune, Chennai, Bengaluru",Not disclosed,Experience with building basic web applications for user interactionExperience with bui...,6-11 Yrs,"Education
UG: Any Graduate","['GenAI', 'langgraph', 'langchain', 'Aiml']"
Not Mentioned,Paypal,Chennai,Not disclosed,. - Bachelors with 4+ years of experience or Masters with 2+ years of experience or PhD...,5-9 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Data analysis', 'data science', 'Artificial Intelligence', 'Billing', 'Machine learning', 'Vulnerability', 'Information technology', 'Analytics', 'Financial services', 'SQL']"
Not Mentioned,Ventura Securities,"Mumbai, Thane, Navi Mumbai",Not disclosed,"Education : Bachelors degree in Data Science, Computer Science, Statistics, Mathematics...",5-10 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate
Doctorate: Doctorate Not Required","['R', 'Data Scientist', 'Data Visualization Tools', 'Data Modeling', 'Data Analytics', 'Machine Learning', 'Decision Science', 'Predictive Analytics', 'Python', 'SQL']"
Not Mentioned,UST,Pune,Not disclosed,Critical Thinking: Data Analysts must review numbers trends and data to come up with or...,5-7 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['data cleansing', 'Data analysis', 'SAS', 'Coding', 'Data modeling', 'Analytical', 'Data quality', 'Data mining', 'Analytics', 'SQL']"
Not Mentioned,Epixel Software,Delhi,Not disclosed,. Work alongside data engineering to ingest and transform data for both streaming and b...,3-4 Yrs,"Education
UG: Any Graduate
PG: Post Graduation Not Required","['Computer science', 'spark', 'Machine learning', 'Deployment', 'Statistics', 'SQL', 'Python', 'Artificial Intelligencedeep learning']"
Not Mentioned,Not Mentioned,Gurgaon,Not disclosed,Experience with Agile Development . Must have experience in developing full stack appli...,2-5 Yrs,"Education
UG: B.Tech/B.E. in Computers
PG: Post Graduation Not Required","['Version control', 'GIT', 'google api', 'XML', 'Machine learning', 'Javascript', 'HTTP', 'JSON', 'test driven development', 'Python']"
Not Mentioned,Paypal,Chennai,Not disclosed,. What do you need to bring- . Bachelors Degree in a quantitative field (Computer Scien...,1-2 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Analytical skills', 'Data analysis', 'data science', 'Artificial Intelligence', 'Diversity and Inclusion', 'Machine learning', 'Manager Technology', 'Financial services']"
Not Mentioned,Wallethub,Remote,Not disclosed,Nice to have but not required This has a direct impact on the overall user experienceEx...,4-6 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Data analysis', 'data science', 'Neural networks', 'MySQL', 'Machine learning', 'Predictive modeling', 'Natural language processing', 'Data mining', 'Python']"
Not Mentioned,Viavi Solutions Inc,Chennai,Not disclosed,We are seeking a highly skilled and experienced Machine Learning Engineer with a strong...,4-8 Yrs,"Education
UG: Any Graduate
PG: LLM in Law","['Telecom', 'Data analysis', 'Diagnostics', 'MySQL', 'Machine learning', 'Data mining', 'Distribution system', 'Forecasting', 'SQL', 'Python']"
Not Mentioned,Not Mentioned,Hyderabad,Not disclosed,". Proficiency in operating machine learning solutions at scale, covering the end-to-end...",5-8 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Supply chain', 'Computer science', 'Coding', 'Data collection', 'Data processing', 'Workflow', 'Gaming', 'Analytics', 'Monitoring', 'Process management']"
Not Mentioned,Amgen Inc,Hyderabad,Not disclosed,What you will doWe are seeking a highly skilled Machine Learning Engineer with a strong...,3-7 Yrs,Not Mentioned,['Not Mentioned']
Not Mentioned,Amgen Inc,Hyderabad,Not disclosed,What you will doIn this vital role you will play a pivotal role in building and scaling...,4-9 Yrs,Not Mentioned,['Not Mentioned']
Not Mentioned,Williams-sonoma,Pune,Not disclosed," Demonstrate a deep knowledge of, and ability to operationalize, leading data & analyti...",8-13 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['deep learning', 'Automation', 'Data analysis', 'Quality improvement', 'Coding', 'Machine learning', 'E-commerce', 'Data analytics', 'Python']"
Not Mentioned,Williams-sonoma,Pune,Not disclosed,"   Responsibilities       Demonstrate a deep knowledge of, and ability to operationaliz...",5-9 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['deep learning', 'Automation', 'Data analysis', 'Quality improvement', 'Coding', 'Machine learning', 'Infrastructure', 'E-commerce', 'Data analytics', 'Python']"
Not Mentioned,Not Mentioned,Gurugram,Not disclosed,"Bachelor s degree in computer science, Data Science, Statistics or related fieldKnowled...",2-6 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Computer science', 'data science', 'Senior Analyst', 'Artificial Intelligence', 'Machine learning', 'Manager Technology', 'Research', 'Statistics']"
Not Mentioned,Intone Networks,Remote,Not disclosed,Intone Networks is looking for Staff Machine Learning Engineer to join our dynamic team...,1-5 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate",['Machine learning']
Not Mentioned,Azilen,Ahmedabad,Not disclosed,. We seek a passionate and skilled Machine Learning Engineer with 2+ years ofhands-on e...,2-3 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Computer science', 'IT services', 'Analytical skills', 'Data analysis', 'data science', 'data manipulation', 'Machine learning', 'Statistics', 'SQL', 'Python']"
Not Mentioned,Tredence,Hyderabad(Gachibowli),Not disclosed,We are looking for an experienced MLOps Engineer with 5-10 years of experience and deep...,5-10 Yrs,"Education
UG: B.Tech/B.E. in Any Specialization",['Not Mentioned']
Not Mentioned,Not Mentioned,Ahmedabad,Not disclosed,That s OK. We prefer experience over education,2-5 Yrs,"Education
UG: B.Tech/B.E. in Any Specialization
PG: M.Tech in Any Specialization","['Computer vision', 'C++', 'Image processing', 'Opencv', 'Machine learning', 'Data structures', 'Information retrieval', 'Natural language processing', 'Continuous improvement', 'Python']"
Not Mentioned,Shaip Ai Data (india),Remote,Not disclosed,"Qualifications: . Bachelors degree in Computer Science, Engineering, or related fieldEx...",3-5 Yrs,"Education
UG: B.Tech/B.E. in Information Technology, Computers
PG: M.Tech in Computers","['Tensorflow', 'Deep Learning', 'Pytorch', 'Nltk', 'NLP', 'Rnn', 'NER', 'Keras', 'Bert', 'Spacy', 'Text classification', 'Python']"
Not Mentioned,Amgen Inc,Hyderabad,Not disclosed,Sr. Machine Learning EngineerWhat you will doLet's do this. Let's change the world. In ...,5-10 Yrs,Not Mentioned,['Not Mentioned']
Not Mentioned,Amgen Inc,Hyderabad,Not disclosed,What you will doIn this vital role you will play a pivotal role in building and scaling...,3-6 Yrs,Not Mentioned,['Not Mentioned']
Not Mentioned,Keeptruckin,Remote,Not disclosed,"Solve challenging object detection, segmentation, recognition, and geometric computer v...",2-7 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Computer vision', 'deep learning', 'C++', 'Backend', 'Machine learning', 'Manager Technology', 'Robotics', 'Python', 'Logistics']"
Not Mentioned,Provenir,Bengaluru,Not disclosed,   Builds & maintains machine learning and big data production pipelines to support adv...,2-5 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Machine learning', 'Data structures', 'Data quality', 'Troubleshooting', 'Open source', 'Distribution system', 'Monitoring', 'SQL', 'Python']"
Not Mentioned,Roku,Bengaluru,Not disclosed,Collaborate with US engineering teams as well as cross-functional teams to translate bu...,5-7 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['python', 'natural language processing', 'neural networks', 'engineering', 'machine learning', 'artificial intelligence', 'deep learning', 'tensorflow', 'data science', 'predictive modeling', 'computer vision', 'statistical modeling', 'technical specifications', 'text mining', 'ml']"
Not Mentioned,Informatica,Bengaluru,Not disclosed,    Job Description Senior Machine Learning Engineer     Informatica  is on a journey t...,3-7 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Electrical engineering', 'deep learning', 'Data management', 'Neural networks', 'Artificial Intelligence', 'Machine learning', 'Informatica', 'Research']"
Not Mentioned,Cerulean Information Technology,Bengaluru(Devarabeesana Halli),Not disclosed,Looking for immediate joiners as Sr. consultant for Machine Learning & Automation Data ...,8-13 Yrs,"Education
UG: B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Computers","['R', 'Machine Learning Algorithms', 'Statistics', 'SQL']"
Not Mentioned,Not Mentioned,Bengaluru,Not disclosed," Job_Description:    Company Overview     Join Navatech Labs, where innovation meets ex...",2-3 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Training', 'Automation', 'model validation', 'Artificial Intelligence', 'Machine learning', 'Cloud', 'Natural language processing', 'Open source', 'Monitoring', 'Python']"
Not Mentioned,Adobe Systems India Pvt. Ltd.,Noida,Not disclosed," The development engineer will be part of a team working on the development, operations...",9-12 Yrs,"Education
UG: B.Tech/B.E. in Any Specialization, Any Graduate
PG: Any Postgraduate","['Debugging', 'Machine learning', 'Cloud', 'Conceptualization', 'Programming', 'Product design', 'Adobe', 'Monitoring', 'Python']"
Not Mentioned,Cardinal Health,Hybrid - Bengaluru,Not disclosed," Machine Learning Engineer (P2)About Us:Headquartered in Dublin, Ohio, Cardinal Health,...",5-9 Yrs,"Education
UG: Any Graduate",['Not Mentioned']
Not Mentioned,Cardinal Health,Hybrid - Bengaluru,Not disclosed," Machine Learning Engineer (P2)About Us:Headquartered in Dublin, Ohio, Cardinal Health,...",2-5 Yrs,"Education
UG: Any Graduate",['Not Mentioned']
Not Mentioned,Cloudsek Information Security,Bengaluru,Not disclosed,. Job Summary: We are seeking for a talented and motivated Machine Learning Engineer wi...,2-4 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Supply chain', 'Data analysis', 'Linux', 'Artificial Intelligence', 'MySQL', 'Machine learning', 'Data processing', 'MongoDB', 'Open source', 'Monitoring']"
Not Mentioned,Not Mentioned,Delhi,Not disclosed,"Must have good interpersonal skills. . UG : BTech/ BE - Computers, Electrical, Electron...",1-5 Yrs,"Education
UG: B.Tech/B.E. in Computers
PG: Post Graduation Not Required","['Computer vision', 'C++', 'development', 'Image processing', 'technical', 'Telecommunication', 'developing', 'Linux', 'Analytical', 'MySQL', 'Machine learning', 'design', 'Natural language processing', 'agile', 'Python']"
Not Mentioned,Ringcentral,Bengaluru,Not disclosed,We are seeking an experienced ML Engineer with a minimum of 3 years of experience in Sp...,3-5 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Computer science', 'ASR', 'deep learning', 'Architecture', 'Analytical', 'Machine learning', 'model development', 'Deployment', 'Monitoring', 'Python']"
Not Mentioned,Not Mentioned,Delhi,Not disclosed,"  We are Looking for a candidate/developer expert in AI and Machine learning mobile, ha...",3-7 Yrs,"Education
UG: Any Graduate
PG: Post Graduation Not Required",['Machine learning']
Not Mentioned,Not Mentioned,Bengaluru,Not disclosed,   Required Skills and Aptitudes   Hands-on experience with Deep Learning frameworks li...,2-5 Yrs,"Education
UG: B.Tech/B.E. in Any Specialization
PG: Any Postgraduate","['deep learning', 'C++', 'Medical devices', 'data science', 'Artificial Intelligence', 'Machine learning', 'Data structures', 'Natural language processing', 'Analytics', 'Python']"
Not Mentioned,Not Mentioned,Delhi,Not disclosed,"We are Looking for a candidate/developer expert in AI and Machine learning mobile, havi...",1-5 Yrs,"Education
UG: B.Tech/B.E. in Any Specialization
PG: Post Graduation Not Required","['Machine learning', 'Machine Learning expert']"
Not Mentioned,Not Mentioned,Bengaluru,Not disclosed,. Desired Skills and Experience: . Css . html5 .,2-8 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Computer science', 'Analytical skills', 'Artificial Intelligence', 'Business Economics', 'Machine learning', 'Javascript', 'Business management', 'Information technology', 'Variance analysis', 'Python']"
Not Mentioned,Not Mentioned,Bengaluru,Not disclosed,   Preferably Masters in Computer Science / Electrical Engineering with 8+ years of exp...,8-13 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Electrical engineering', 'Training', 'Computer vision', 'Redhat', 'Publishing', 'Neural networks', 'Artificial Intelligence', 'Machine learning', 'Research']"
Not Mentioned,Not Mentioned,Bengaluru,Not disclosed,Demonstrated record of building and deploying end-to-end ML solutions in a production e...,4-7 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Computer science', 'consumer marketing', 'Artificial Intelligence', 'Finance', 'Machine learning', 'Manager Technology', 'Commerce', 'big data', 'SQL', 'Python']"
Not Mentioned,Zeta Global,Bengaluru,Not disclosed,Zeta Global is looking for an experienced Machine Learning Engineer with industry-prove...,2-4 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['SAN', 'Marketing programs', 'Campaign management', 'Machine learning', 'Manager Technology', 'HTML', 'Research', 'Digital marketing', 'Management reporting', 'Python']"
Not Mentioned,Aryavart Institute Of Technology,"Noida, Patna, Kanpur, Supaul",Not disclosed," As a Machine Learning Trainer, you will be at the forefront of educating and upskillin...",2-4 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['Cloud computing', 'Artificial Intelligence', 'Curriculum development', 'Machine learning', 'Schema', 'HTTP', 'Internship', 'Python']"
Not Mentioned,Siemens Healthcare,Bengaluru,Not disclosed,"Location: Bangalore, India . Organization: Center for Innovation in Diagnostics, Bangal...",1-2 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['C++', 'Medical imaging', 'Diagnostics', 'Machine learning', 'Healthcare', 'Research', 'MATLAB', 'Operations', 'Information technology', 'Python']"
Not Mentioned,Bastian Solutions,Bengaluru,Not disclosed,"Bachelor / Masters degree in computer science, or Engineering . 10+ years of experience...",4-8 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['bayesian', 'algorithms', 'server', 'python', 'c++', 'modeling', 'ai solutions', 'mathematics', 'neural networks', 'robotics', 'machine learning', '3d', 'tensorflow', '2d', 'automation', 'design patterns', 'computer vision', 'pytorch', 'keras', 'geometry', 'software engineering', 'pattern recognition']"
Not Mentioned,Bastian Solutions,Bengaluru,Not disclosed,"Bachelor / Masters degree in computer science, or Engineering . 2+ years of experience ...",2-5 Yrs,"Education
UG: Any Graduate
PG: Any Postgraduate","['algorithms', 'server', 'python', 'c++', 'modeling', 'ai solutions', 'ubuntu', 'mathematics', 'neural networks', 'operating systems', 'machine learning', '3d', 'scripting', 'tensorflow', '2d', 'linux', 'computer vision', 'pytorch', 'keras', 'software engineering', 'bash', 'bash scripting', 'pattern recognition']"
